序号,招式,描述,益处,注意事项,常见问题
67,鸽王式高级,1.骆驼式进入；2.慢慢用手触摸垫子，你的指尖朝向脚趾；3.用手朝着脚的方向靠近，慢慢抓住脚跟；4.让手肘和头部放松贴向垫子上；5.保持5-8次平稳的呼吸；6.退出体式时，把手从脚跟上松开，然后缓慢地一只手扶腰，吸气，轻轻的让脖子收回，身体回到骆驼式然后到婴儿式。,1.提升脊柱的伸展性和灵活性；2.拉伸体前侧，大腿，腹部，胸部，肩膀和颈部；3.改善肠胃功能，消除便秘及强化背部；4.使身体更加柔软，纤细，有助于消除腹部赘肉；5.平静大脑，愉悦心情，缓解压力，减轻疲劳、抑郁、焦虑等症状。,如有膝关节、腰肌劳损或手腕炎症，孕妇，请勿练习。,腰部出现疼痛。解决方式：根据自身的情况来减小后弯幅度双膝向两侧分开解决方式：双膝内侧夹砖（横着放的宽度）来保持。
68,单腿鸽王第二式,1.由下犬式开始；2.左脚向前迈，踩在两手之前，右膝着地，请参考低弓箭步；3.移动左膝，使其位于脚踝前方，保持身体的稳定；4.弯曲后腿膝盖，单手抓住右脚，胳膊肘尖指向天花板；5.呼气，身体大幅度后仰，头部后仰，头顶顶住右脚脚底；6.调整好重心，将另一只手举过头顶，向后抓住右脚；7.尾椎骨向里推，保护腰背部；8.保持5-8次流畅的呼吸；9.退出体式时，释放右脚，吸气时身体由后仰回正。呼气时回到下犬式,1.拉伸大腿、髋部、腹部、胸部、肩膀与颈部。2.刺激腹部内脏器官。3.提升平衡感与专注力。4.平静大脑，愉悦心情，缓解压力，减轻疲劳、抑郁、焦虑等症状。,如有腰肌劳损、髋部、颈部、肩膀或膝盖、脚踝发炎，请勿练习。,腰部出现疼痛。解决方式：根据自身的情况来减小后弯幅度。呼吸混乱、急促。解决方式：呼吸自然，不要憋气。膝关节不舒适。解决方式：膝关节下方垫毛毯
69,单腿鸽王第一式,1.双手双膝着地，由猫式进入；2.左膝前移，置于左手内侧；3.向后伸展右腿，臀部向下接触地板。确保左脚后跟与右胯位于一条直线之上，脚部弯曲放松，保护膝盖；4.弯曲右膝，用手抓住右脚，肘尖指向天花板，转动肩膀，正对前方5.慢慢地进入后仰的姿势，头部放松，向右脚脚底方向后仰；6.尾椎向里推送，慢慢地用双手握住右脚；7.保持5-8次呼吸；8.退出体式时，吸气，身体由后仰向前回正，将双手放于垫子上，回到下犬式或猫式。,1.拉伸大腿、髋部、腹部、胸部、肩膀与颈部。2.刺激腹部内脏器官。3.平静大脑，愉悦心情，缓解压力，减轻疲劳、抑郁、焦虑等症状。,如有背部、腰肌劳损、髋部、颈部、肩膀或膝盖、脚踝发炎，请勿练习。,腰部出现疼痛。解决方式：根据自身的情况来减小后弯幅度。呼吸混乱、急促。解决方式：呼吸自然，不要憋气手抓不到脚解决方式：手抓不到用伸展带辅助即可
70,单腿轮式,1.平躺在垫子上，双膝弯曲，脚后跟贴近臀部。2.手掌置于双耳两侧，手指指尖压在肩膀下面，指尖指向脚部。3.腿部用力，缓缓地将胯部抬起，接着将背部抬离地面。4.双手用力按压地板，手臂伸直，进入轮式。5.小心地将重心调整到左脚上，抬起并伸直右腿。6.左腿、双臂与核心肌群持续发力。7.保持几次呼吸的时间。8.结束动作时，呼气，右脚回到地面，头部回到垫子上，收紧下颌，缓缓地将背部贴回地面。,1.扩展胸部及肺部，增加肺活量。2.充分伸展脊椎，矫正驼背，使身体保持柔软和敏捷。3.滋养和增强腹部各肌肉群，使内脏器官和腺体受益。4.活络全身气血，增强体力及免疫力，美化身材曲线。5.平静大脑，愉悦心情，缓解压力，减轻疲劳、抑郁、焦虑等症状。,如手腕、肩膀、腰肌劳损或腹部发炎，请勿练习。,腰部出现疼痛。解决方式：根据自身的情况来减小后弯幅度
71,眼镜蛇变体,"1.身体俯卧与地面进入2.脚背推地膝盖抬离地面，双手与臀部上方十指交叉掌跟合十；3.吸气时，双手拉动肩膀向后，胸腔向上抬离地面,腹部内收，臀部放松，大腿内侧上提，眼睛看向前方；4.保持5-8次呼吸；5.退出体式时，缓慢松开双手回到俯卧。",1.增加脊柱力量和灵活性，及腰背肌力量。2.拉伸肩部、胸腔，腹前侧。3.对于肝脏，肾脏以及血液循环是有很好的保护措施4.提升呼吸、消化、内分泌及生殖系统的功能。,腰背部、腰肌劳损或者腰间盘突出者，请勿练习。,呼气急促。解决方式：保持自然呼吸，不要憋气，也可适当减小幅度
72,站立后弯高级,1.山式站立进入。2.吸气，双臂举过头顶，三指相扣，食指指向上方。3.呼气，收腹向前送髋，躯干后仰。4.放松颈部，尾椎骨向内收紧，腿部上提发力。5.坚持5-8次平稳的呼吸。6.退出体式时，吸气，胸部带动身体向上回正，呼气，松开手臂回到山式。,1.扩展胸部及肺部，增加肺活量。2.充分伸展脊椎，矫正驼背，使身体保持柔软和敏捷。3.滋养和增强腹部各肌肉群，使内脏器官和腺体受益。4.活络全身气血，增强体力及免疫力，美化身材曲线。5.平静大脑，愉悦心情，缓解压力，减轻疲劳、抑郁、焦虑等症状。,"如有腰肌劳损,胯部或膝盖炎症,请勿练习。",腰部出现疼痛。解决方式：根据自身的情况来减小后弯幅度。呼吸急促、混乱。解决方式：呼吸自然，不要憋气
73,上犬式,1.俯卧与地面上；2.下巴着地，手放在胸腔的两侧。五指分开，肩膀向后环绕沉肩，手肘夹紧身体两侧；3.吸气，手掌按压地面，背阔肌发力，胸部向上抬离地面；4.双臂伸直，躯干、胯部和大腿依次离开地面；5.臀部放松，大腿内侧用力上提，脚背推地；6.卷尾椎骨向下，缓解腰背部的压力，胸部向前方推送，眼睛看向眉心；7.坚持5-8次平稳的呼吸；8.退出体式时，呼气的同时身体慢慢地回到垫子上，双臂到身体两侧俯卧与垫子上放松。,"1.增加脊柱力量和灵活性，及背肌力量。2.拉伸胸腔，腹前侧,髂腰肌。3.对于肝脏，肾脏以及血液循环是有很好的保护措施4.提升呼吸、消化、内分泌及生殖系统的功能。","如有背部,手腕发炎，及孕妇请勿练习。",腰部出现疼痛。解决方式：根据自身的情况来减小后弯幅度。重心都压在手腕。解决方式：腹部上提，臀部放松
74,轮式变体,1.轮式进入；2.慢慢屈肘小臂贴地，十指交叉，双腿向前伸直，双脚并拢；3.双肩向上推送，用背部的力量让胸腔打开，大腿内侧收紧，卷尾骨和耻骨向上，臀部保持放松；4.保持5-8次平稳呼吸，或者更长；5.退出体式时，松开双手回到轮式，慢慢屈肘头部落回地面，依次让背部和臀部落回地面，屈膝双手环抱小腿放松；,1.扩展胸部及肺部，增加肺活量。2.充分伸展脊椎，矫正塌肩驼背，使身体保持柔软和敏捷。3.滋养和增强腹部各肌肉群，使内脏器官和腺体受益。4.活络全身气血，增强体力及免疫力，美化身材曲线。5.平静大脑，愉悦心情，缓解压力，减轻疲劳、抑郁、焦虑等症状。,如手腕、肩膀、腰肌劳损或腹部发炎，请勿练习。,肘关节向外分开。解决方式：双肘部垂直于肩部
75,轮式,1.平躺在地上，膝盖弯曲，脚后跟靠近臀部；2.手掌置于耳的旁侧，指尖放在肩膀的下方，指尖指向双脚的方向；3.大腿内侧用力，慢慢地将臀部抬离地面，后背离开垫子；4.双手按压地板，伸直双臂，抬高身体；5.颈部放松，双腿内侧用力支撑身体，流畅地呼吸；6.确保膝盖与胯同宽，尾椎内收，膝关节指向第二脚趾的位置；7.坚持5-8次流畅的呼吸；8.退出体式时，屈肘头部慢慢点地，收下颌，背部依次落向地面，屈膝双手环抱小腿，大腿压向腹部或者前后翻滚几次放松腰背部。,1.扩展胸部及肺部，增加肺活量。2.充分伸展脊椎，矫正驼背，使身体保持柔软和敏捷。3.滋养和增强腹部各肌肉群，使内脏器官和腺体受益。4.活络全身气血，增强体力及免疫力，美化身材曲线。5.平静大脑，愉悦心情，缓解压力，减轻疲劳、抑郁、焦虑等症状。,如手腕、肩膀、背部或腹部发炎，请勿练习。,双膝和脚尖向外侧分开。解决方式：双大腿内侧夹瑜伽砖保持。腰部挤压疼痛。解决方式：双脚尖指向正前方。双膝为向内收指向第二脚趾。
76,狂野式,1.由下犬式开始；2.吸气的同时抬高左腿，来到单腿下犬式；3.呼气的同时胯部向左侧打开，左胯位于右胯的正上方；4.继续保持开胯，左手离开垫子，胯部和胸腔持续向天花板方向翻转；5.左脚脚趾落到地面上，左臂向一侧去伸展；6.臀部抬高，颈部放松，眼睛看向上方手指。7.坚持5-8次深长的呼吸。8.退出体式时，以右脚为轴，将身体旋正，回到下犬式。,1.扩展胸部及肺部，增加肺活量。2.充分伸展脊椎，矫正驼背，使身体保持柔软和敏捷。3.滋养和增强腹部各肌肉群，使内脏器官和腺体受益。4.活络全身气血，增强体力及免疫力，美化身材曲线。5.平静大脑，愉悦心情，缓解压力，减轻疲劳、抑郁、焦虑等症状。,如手腕、肩膀、腰肌劳损或腹部发炎，请勿练习。,重心压力都在手腕根部。解决方式：后脚有力向下推地，下方虎口压实地面
77,骆驼式,1.雷电坐姿进入；2.吸气，身体向上直立，双手扶髋，双膝分开与髋部同宽；3.呼气肩膀下沉放松；4.吸气，胸腔向上打开，呼气，收腹胸腔向后延伸，双手慢慢抓住脚跟，头部自然向下放松，眼睛看向上方；5.保持流畅的呼吸--提示要点；6.感受腹前侧的拉伸；7.吸气，双手慢慢扶髋，上身缓慢直立起来，呼气臀部坐向脚跟回到婴儿式放松。,1.伸展体前侧，颈部，胸部，腹腔，臀部，大腿和踝关节。2.改善血液循环，女性经期和痛经量少。3.缓解背部和肩痛问题，柔软脊柱。,如有腰肌劳损，颈部，肩膀或者膝盖的病症请勿练习。,腰部出现疼痛。解决方式：下方垫瑜伽砖来保持。呼吸急促、混乱。解决方式：1.双手扶髋来保持减小后弯幅度。2.呼吸自然、稳定，不要出现憋气
78,猫式平衡,1.猫式进入；2.吸气时右腿向后伸直抬离地面，再将左手向前伸直抬离地面；3.右侧臀部向下保持臀部平行，脚趾回勾，后脚跟内侧用力向后，前方肩膀向后找向臀部，下腹部上提，眼睛看向前方一个固定点；4.保持5-8次呼吸；5.退出体式时，回到猫式或婴儿式放松。,1.拉伸肩部、胸部、腹部与大腿；2.增强上背部、肩膀与核心肌群的力量；3.提升平衡感与专注力。,"如有手腕、膝盖或肩膀发炎,请勿练习。",塌腰向下。解决方式：下腹部上提。臀部不在一个高度。解决方式：将抬高的臀部向下沉，臀部保持水平。重心压在手腕。解决方式：下方手的虎口处压实地面。
79,半莲花树式,1.山式站姿进入；2.双手扶髋，抬左腿屈左膝向上，双手从内侧扶住脚踝脚掌心朝上放于有大腿根部，把身体的重心集中在你的右脚上面，先保持呼吸和身体的稳定；3.吸气时，双臂向上伸展举过头顶，掌心相对，肩膀下沉；4.眼睛看向前方固定点，关注呼吸的均匀和根基的稳定；5.保持5-8次平稳的呼吸；6.退出体式时，呼气时，双手扶髋，将左脚慢慢落回地面，回到山式,1.伸展踝关节、大腿和小腿，强化小腿肌肉；2.提高膝盖，臀部和肩膀的灵活性；3.提升平衡感和集中注意力。,如踝关节，膝盖，臀部或者肩膀有炎症，请勿练习。,下方脚站不稳。解决方式：将脚内侧向下踩地，大腿肌肉上提。膝关节不舒适。解决方式：膝关节不舒适可将脚掌踩于大腿内侧
80,天堂鸟式,1.站立前屈式进入；2.双脚与肩同宽，将右手穿过左大腿内侧环绕，与背后抓住左手腕，稳定左脚，吸气时，慢慢将重心来到左脚身体来到直立，呼气时将右腿慢慢向上伸直向身体的右侧，眼睛看向前方固定点；3.将左脚内侧压实地面，背部立直胸腔上提，尽量将右腿向上靠近身体；4.保持5-8次呼吸；5.退出体式时，缓慢松开双手到山式站姿。,"1.加强脚踝,双腿和上背部稳定度；2.伸展大腿内侧及髋关节；3.提升平衡感和专注力。",如髋部或脚踝有病症请勿练习。,下方脚重心不稳。解决方式：将下方脚内侧压实地面，收紧大腿前侧肌肉，呼吸要稳定缓慢。
81,鸟王式,1.山式站姿进入；2.弯曲双膝盖，慢慢将身体的重心移到你的左脚；3.抬起右脚扣住左脚，勾住左脚脚踝，保持平衡，重心在左脚上；4.吸气，拉伸双手臂，然后在你的身体前交叉你的手臂，用左手搭在右手的手肘上侧；5.更进一步缠绕你的双臂，让你的手掌相对，抬高手肘并且伸直你的手指朝着天花板的方向；6.保持5-8次平稳的呼吸；7.退出体式时，呼气，放下手臂和腿部，回到山式。,1.增强脚踝、大腿、腹部、臀肌和腰背部的力量；2.消除肩部僵硬和腿部抽筋带来的疼痛以及预防小腿肌肉抽筋的作用；3.拉伸手臂三头肌、大腿外侧肌肉；4.提升平衡感和专注力。,如处于孕期或背部、肩膀、膝盖或髋部发炎，请勿练习。,重心不稳定。解决方式：下方脚大脚趾球的内侧压实地面。双手掌心无法相对。解决方式：根据自己的身体状态，可先互抱双肩来保持
82,单腿猫式,"1.猫式进入；2.确认双肩在手腕正上方,髋部在膝盖正上方；3.吸气,抬起右腿,直到右腿与地板平行,大脚趾朝后指向后方；4.让骨盆保持中立,双手五指大大张开；5.保持5-8次呼吸；6.退出体式时,把膝盖落于垫子上回到猫式。","1.强化下背部,双腿,双臂和核心肌肉群；2.提升身体平衡感和专注力。","如有手腕膝盖或肩膀发炎,请勿练习。",髋部歪斜。解决方式：上方腿的臀部向下沉，髋部保持中正。耸肩。解决方式：肩拉向臀的方向，舒展肩颈
83,半月式高级,1.战士二进入；2.把右脚移动几步向前；3.把左手指尖放向前放于面部的正下方（在直立腿左脚前面）伸直左腿；4.抬起右腿与地面平行，打开胸腔和髋部朝向正前方；5.右手手臂朝着天花板伸直做准备，转头看向上方指尖，到半月式；6.找到下方脚的稳定后，缓慢的弯曲右膝盖然后右手抓住右脚背或脚踝；7.保持5-8次呼吸；8.退出体式时，呼气松开右手回到半月再到下犬式休息,1.加强踝关节，小腿肚，膝盖，大腿，背部和核心的肌肉；2.伸展脊椎和肩膀，增加柔韧度；主要消除大腿外侧过多的脂肪；3.舒缓下背痛；舒缓坐骨神经痛；改善双脚的血液循环；4.提升身体的平衡感和专注力。,如踝关节，臀部，肩膀或者背部有炎症，请勿练习。,下方支撑腿和脚无法稳定。解决方式：初学者可用瑜伽砖来保持稳定。手无法抓住脚背。解决方式：有基础的学员控制下方大脚趾内侧压实地面，大腿前侧收紧向上
84,半月式,1.从战士二进入；2.把右脚移动几步向前；3.把左手指尖放向前放于面部的正下方（在直立腿左脚前面）伸直左腿；4.抬起右腿与地面平行，打开胸腔和髋部朝向正前方；5.右手手臂朝着天花板伸直做准备，转头看向上方指尖，到半月式；6.找到下方脚的稳定后，上方右脚趾保持回勾，下方脚内侧压实地面；7.保持5-8次呼吸；8.退出体式时，呼气，上方脚向下落回，到下犬式休息；,1.加强踝关节，小腿肚，膝盖，大腿，背部和核心的肌肉；2.舒缓下背痛和坐骨神经痛，改善痛经及双脚的血液循环；3.提升身体的平衡感和专注力。,如有踝关节，臀部，肩膀或者背部的炎症，请勿练习。,下方支撑腿和脚无法稳定。解决方式：1.初学者可用瑜伽砖来保持稳定2.有基础的学员控制下方大脚趾内侧压实地面，大腿前侧收紧向上。髋内收。解决方式：髋部侧向展开
85,舞蹈式初级,1.山式站姿进入2.把你的重心转移到左脚上面3.吸气时弯曲右膝，右手抓住右脚踝，4.抬起左手臂越过头顶5呼气时，抬起右脚向上，直到你的大腿和地面保持平行的高度。放松你的肩膀，上方左手臂向前延伸，与地面平行6.保持站立的左脚稳定大脚趾内侧下压地面，左大腿前侧肌肉上提7.保持5-8次平稳的呼吸8.退出体式时，吸气身体向上回正，呼气，轻轻地松开右手，右脚落回地面回到山式站姿,"1.加强脚踝,双腿和上背部肌力量和稳定度。2.伸展肩膀,胸部,腹部,大腿和腹股沟肌肉群。3.提升身体平衡能力,促进专注力","如有膝盖或胯部发炎,请勿练习。",下方支撑腿和脚无法稳定。解决方式：1.初学者可减小幅度来练习。2.有基础的学员控制下方大脚趾内侧压实地面，大腿前侧收紧向上。髋部倾斜。解决方式：将上方的腿部向下沉，髋部两端平行
86,单手虎式,1.猫式进入；2.吸气时右腿向后伸直抬离地面，再将左手向前伸直抬离地面；3.右侧臀部向下保持臀部平行，脚趾回勾，后脚跟内侧用力向后，前方肩膀向后找向臀部，下腹部上提，眼睛看向前方一个固定点；4.缓慢将左手抓住右脚背向上延展，保持身体重心均衡、稳定；5.保持5-8次呼吸；6.退出体式时，回到猫式或婴儿式放松。,1.拉伸肩部、胸部、腹部与大腿前侧；2.增强上背部、肩膀与核心肌群的力量；3.提升平衡感与专注力。,如有背部、髋部、肩膀或膝盖发炎，请勿练习。,髋部歪斜。解决方式：上方臀部向下沉。重心都压在手腕和后膝上。解决方式：后方脚背向下推地减轻膝盖的压力（或者膝下方垫毛毯）下方手的虎口位置压实地面
87,扭转半月式,1.站立前屈进入；2.手指接触地板，放在脚尖前方12-18英寸的地方；3.将重心转移到右腿；4.吸气，左腿向后向上伸直，与地面保持平行；5.调整好之后，向右侧打开胸腔，右手向天花板延伸；6.左腿继续向后延展。站立腿发力向上收紧，保持髋部与地板垂直。目光注视上方右手；7.保持5-8次平稳的呼吸；8.退出体式时，上方腿缓慢落回，回到站立前屈式。,1.加强踝关节，小腿肚，膝盖，大腿，背部和核心的肌肉；2.增加脊柱灵活性；消除大腿外侧过多的脂肪；3.舒缓下背痛和坐骨神经痛，改善双脚的血液循环；4.提升身体的平衡感和专注力。,如有踝关节，臀部，肩膀或者背部的炎症，请勿练习。,下方支撑腿和脚无法稳定。解决方式：初学者可用瑜伽砖来保持稳定。扭转时身体不延展。解决方式：有基础的学员控制下方大脚趾内侧压实地面，大腿前侧收紧向上
88,站立腿上提扭转式,1.山式站立进入；2.重心移到左腿上；3.抬起右脚，用右手的食指与中指勾住大脚趾；4.向前方伸直右腿，进入手抓大脚趾伸展式；5.用左手抓住右脚的外侧；6.呼气，松开右手指，慢慢地将肩膀转向右侧；7.右手向后方伸展，眼睛看向右肩，胸腔保持上提，下方大腿有力上提稳定身体的重心；8.保持5-8次稳定的呼吸；9.退出体式时，吸气头颈肩转向前方，右臂向前收回，呼气松开左手，放下右脚，回到山式站立。,1.拉伸腿筋、髋部、和胸部、肩部；2.增强脚踝、腿部、核心肌群、腰背部和手臂的力量；3.提升平衡感和专注力。,如脚踝、腰背部或肩膀发炎，请勿练习。,下方支撑腿无法稳定。解决方式：1.初学者可抓小腿外侧来保持稳定。2.有基础的学员控制下方大脚趾内侧压实地面。两臀不在一条水平线。解决方式：两臀保持水平
89,站立腿上提式,1.山式站立；2.双手扶髋，吸气，抬起右腿向上与地面平行，绷脚背；3.利用核心肌群和大腿肌肉保持腿部抬高；4.脊柱向上延展，放松肩膀；5.坚持5-8次稳定的呼吸。6.退出体式时，呼气，弯曲右膝，回归山式。,1.增强大腿和核心肌群的力量；2.提升平衡感和专注力。,如脚踝、髋部或膝盖发炎，请勿练习。,上身躯干过于向后。解决方式：上身垂直与地面。上方腿不能平行与地面。解决方式：上方脚抬离地面，做到自己的位置即可。
90,站立手抓大脚趾伸展式,1.山式站立进入；2.重心移到左腿上；3.双手扶髋，吸气，抬起右脚，用右手的食指与中指勾住大脚趾；4.呼气时，向前方伸直右腿，进入手抓大脚趾伸展式；5.吸气时，胸腔上提，呼气，将右腿向外打开，眼睛看向前方；6.双肩保持平行，下方腿伸直，将脚内侧压实地面，大腿肌肉上提；7.眼睛看向前方专注一个凝视点；8.保持5-8次稳定的呼吸；9.退出体式时，吸气，右腿向前回正，呼气，松开右手，屈右膝回到山式。,1.拉伸髋部、腿筋和腹股沟肌肉；2.增强腿部、背部、核心肌群、手臂的力量；3.提升平衡感和专注力。,如有脚踝、髋部、腰背部或肩膀发炎，请勿练习。,下方支撑腿无法稳定。解决方式：控制下方大脚趾内侧压实地面。上方腿无法伸直。解决方式：初学者可扶到小腿外侧，或使用伸展带辅助。对侧的髋部过多向外推送解决方式：收腹核心向上，将髋部回正。
91,站立头触膝式,1.山式站立进入；2.重心移到左腿上；3.吸气，曲右膝，双手抓住右脚；4.呼气，伸直右腿，上身向下靠近右脚，额头碰触膝盖；5.下方脚内侧压实地面，大腿肌肉上提；6.眼睛看向鼻尖；7.保持5-8次稳定的呼吸；8.退出体式时，吸气，上身起身，呼气，松开双手右腿落回，回到山式,1.拉伸腿部后侧和腰背部；2.增强上背部、核心肌群、手臂和肩膀的力量；3.提升平衡感和专注力。,如有脚踝、膝盖、腰背部或肩膀发炎，请勿练习。,下方支撑腿无法稳定。解决方式：控制下方大脚趾内侧压实地面，大腿前侧肌肉向上收紧
92,站立手抓大脚趾式,1.山式站立进入；2.重心移到左腿上；3.双手扶髋，吸气，抬起右脚，用右手的食指与中指勾住大脚趾；4.呼气时，向前方伸直右腿，进入手抓大脚趾伸展式；5.将前方肩膀向后双肩保持平行，下方脚内侧压实地面，大腿肌肉上提；6.眼睛看向前方专注一个凝视点；7.保持5-8次稳定的呼吸；8.退出体式时，松开右手，屈右膝回到山式。,1.拉伸腿部后侧、髋部；2.增强脚踝、腿部、核心肌群、腰背部、肩膀和手臂的力量；3.提升平衡感和专注力。,如脚踝、腰背部或肩膀发炎，请勿练习。,下方支撑腿无法稳定。解决方式：控制下方大脚趾内侧压实地面，大腿前侧肌肉向上收紧。两肩没有在一条直线。解决方式：拉动前方肩部向后移动。上方腿无法伸直。解决方式：使用伸展带帮助伸直腿
93,单腿前屈伸展式,1.由下犬式开始；2.吸气，右腿向上，抬高，呼气时，右脚向前迈到双掌间；3.左脚抬离地面，重心转移到右脚和双手；4.吸气，抬起左腿尽量向上抬高，上方脚趾去够天花板，双腿伸直尽量保持垂直；5.呼气，用右手握住右小腿，将胸口贴近大腿，左手指尖撑地；6.保持5-8次稳定的呼吸；7.退出体式时，呼气并放下左脚，回到下犬式；,1.拉伸腰背部、腿筋、大腿、腹股沟肌肉和小腿肚；2.增强脚踝、膝盖和大腿的力量；3.防止内脏下垂；4.提升平衡感和专注力。,如腰背部、髋部、膝盖或脚踝发炎，请勿练习。,下方支撑腿无法稳定。解决方式：控制下方大脚趾内侧压实地面，大腿前侧肌肉向上收紧，做到自己的极限即可。髋部保持左右水平。解决方式：骨盆摆正，不翻髋
94,虎式,"1.从四肢着地，猫式进入；2.确认双肩在手腕正上方,髋部在膝盖正上方；3.吸气,抬起右腿,直到右腿与地板平行,然后弯曲右膝脚趾尖朝上，小腿与地面保持垂直；4.让骨盆保持中立,双手五指大大张开；5.保持5-8次呼吸；6.退出体式时,把膝盖落于垫子上回到猫式。",1.增强臀肌、腰背部、核心肌群力量；2.拉伸髋部和髂腰肌；3.提升身体平衡感和专注力。,如有背部、髋部、膝盖或手腕发炎，请勿练习。,髋部歪斜。解决方式：上方腿的臀部下沉，髋部平行。耸肩。解决方式：肩远离耳朵，颈部舒展
95,趾尖式,1.山式站立；2.双手扶髋，重心移向右脚，先找平衡点；3.吸气，弯曲左膝，髋部向外打开，用手将左脚放在右腿大腿根部上方；4.呼气，前屈身体向下，指尖触碰身体前方的地板；5.慢慢地弯曲右膝，将右脚跟抬高，臀部坐向脚跟；6.慢慢把手抬起，双手合十在胸前；7.目视前方，延展脊柱背部保持直立，肩膀放松；8.保持5-8次稳定的呼吸；9.退出体式时，呼气时双手推地，伸直右腿。吸气时双手扶髋，起身松开左脚，回到山式。,1.增强脚踝部、小腿、大腿和核心肌群的力量；2.增加膝盖和髋部的柔韧性；3.提升平衡感和专注力。,如有脚踝、膝盖或髋部发炎，请勿练习。,重心不稳定。解决方式：可尝试单手触地，来保持稳定，根据身体的稳定后在尝试双手合十于胸前。腰背无法挺直。解决方式：提胸腔向上，腰背挺直
96,树式,1.山式站姿进入；2.双手扶髋，抬左腿屈左膝向上，双手从内侧扶住脚踝脚掌心贴到左大腿根部内侧，左膝向外伸展，先找到身体的稳定和呼吸的稳定；3.吸气时，双臂向上伸展举过头顶，掌心相对，肩膀主动下沉；4.眼睛看向前方固定点，将右脚和左大腿内侧成对抗的力来稳定身体；5.保持5-8次平稳的呼吸；6.退出体式时，呼气时，双手扶髋，将左脚慢慢落回地面，回到山式。,"1.强化脚踝,小腿和大腿肌肉力量；2.增加膝盖,髋部和肩膀的灵活性；3.紧实胸背的肌肉，矫正脊柱弯曲，消除腰痛；4.提升平衡感,促进注意力集中","1.如有脚踝,膝盖,胯部或肩膀发炎,请勿练习。2.注意：上方脚避免踩到膝盖内侧，以免膝盖受伤。",下方支撑腿无法稳定解决方式：控制下方大脚趾内侧压实地面，大腿前侧肌肉向上收紧或将上方脚掌踩于小腿内侧。
97,战士三式,1.山式站立进入；2.右脚向后撤一小步脚跟抬离地面，吸气双手臂向上伸直到耳朵两侧三指相扣，食指指向上方；3.重心转移到左脚，吸气时，双臂向前伸展，右腿向后向上抬离地面；4.将右腿和躯干平行于地面。下方左脚内侧下压地面左腿伸直且稳定。上方右腿跟和脚踝内侧用力向后瞪送，指尖有力向前，拉伸脊椎，注意髋部不要倾斜两端保持平行；5.坚持5-8次呼吸；6.退出体式时，吸气，双手拉动身体向上回正右脚落回地面，呼气时，回到山式。,1.增强大腿、脚踝、核心肌群、背部和肩膀的力量；2.拉伸腿筋和小腿；3.提升平衡感和专注力。,如肩膀、髋部或脚踝发炎，请勿练习。,下方支撑腿无法稳定解决方式：控制下方大脚趾内侧压实地面，大腿前侧肌肉向上收紧髋部倾斜解决方式：方腿的臀部下沉，髋部平行。
98,舞王式,1.山式站姿进入；2.把你的重心转移到左脚上面；3.吸气时弯曲右膝，右手抓住右脚踝；4.将左手慢慢向后抓住右脚，呼气时，双手拉动右脚向上延伸，保持右脚与头部和后脚平行或者高于头部；5.放松肩膀，保持胸腔打开，并且保持站立的左脚稳定，内侧大脚趾下压地面，左大腿前侧肌肉上提；6.保持5-8次平稳的呼吸；7.退出体式时，轻轻地松开双手，右脚落回地面回到山式站姿。,1.伸展肩膀，胸部，腹部，大腿和腹股沟的肌肉；2.加强腿部和脚踝力量及稳定性；3.提升平衡感和专注力。,如有颈部、肩部，腰间盘突出和髋部炎症，请勿练习。,下方支撑腿无法稳定解决方式：控制下方大脚趾内侧压实地面，大腿前侧肌肉向上收紧腰椎出现疼痛解决方式：每个呼气时肋骨内收，其次根据自身的情况，不可勉强身体，如出现疼痛立刻停止。
99,舞蹈式中级,1.山式站姿进入；2.把你的重心转移到左脚上面；3.吸气时弯曲右膝，右手抓住右脚踝；4.抬起左手臂越过头顶；5呼气时，抬起右脚向上，高于头部。放松你的肩膀，上方左手臂向前延伸，与地面平行；6.保持站立的左脚稳定大脚趾内侧下压地面，左大腿前侧肌肉上提；7.保持5-8次平稳的呼吸；8.退出体式时，吸气身体向上回正，呼气，轻轻地松开右手，右脚落回地面回到山式站姿。,1.伸展肩膀，胸部，腹部，大腿和腹股沟的肌肉；2.加强腿部和脚踝力量及稳定性；3.提升平衡感和专注力。,如有颈部、肩部、腰间盘突出和髋部炎症，请勿练习。,下方支撑腿无法稳定解决方式：控制下方大脚趾内侧压实地面，大腿前侧肌肉向上收紧
100,桌子式,1.从山式坐姿进入；2.双手在臀部后方指尖指向臀部，屈双膝脚掌心踩地，膝关节距离与髋部同宽；3.吸气胸腔上提，呼气双手推地，臀部慢慢向上抬离地面，头部、上身、大腿保持平行成一条直线，手指大大的张开（重心不要完全压在掌跟上）；4.保持5-8次稳定的呼吸；5.退出体式时，呼气，缓慢将臀部落回地面，回到山式坐姿。,1.增强双腿、核心肌群、背部、手臂和手腕的力量；2.该体式可增强全身肌肉力量，为后仰支撑的体式做准备。,如处于孕期，抑或肩膀、手腕处有发炎及女性经期请勿练习。,重心都压在手掌跟部解决方式：双手五指分开，虎口压实地面，双脚内侧用力
